PATH	DURATION	TRANSCRIPT
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_30580094.wav	3.780000	ạ. Dạ không ạ. Ngại quá
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_28846908.wav	4.464000	Hương thu còn thoảng đâu đây bên thềm
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_26942577.wav	3.960000	Gió đông lạnh heo may về khắp lối.
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_25112168.wav	4.068000	Sao anh vội về ngay?
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_26136615.wav	4.104000	Ngày em đi cất nhẹ gót quay về
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_27152897.wav	5.652000	Anh đã biết tình kia là không thể
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_23965605.wav	5.568000	Cây cỏ tỉnh táo
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_27651857.wav	4.248000	Vợ tôi cũng bị một chiếc xe như vậy
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_24994690.wav	2.052000	Em không trả lời
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_30646474.wav	4.644000	mẹ lại cầm tay của em lẩm bẩm
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_23847785.wav	3.816000	Vừa muốn nói thì lại thừ người ra
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_23950004.wav	2.520000	Bà bói liền đáp lại
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_27716264.wav	4.860000	Nhưng tất cả chỉ là sự vô thức
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_27768856.wav	4.140000	Tháng mười một chiếc khăn như bóng rợp
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_25157829.wav	4.392000	Ra đến chỗ để xe thì Phương chép miệng
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_24814570.wav	3.456000	Khỉ cánh cửa đóng lại
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_25911366.wav	3.852000	Tô thắm sắc cho vườn hoa sống động
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_31437120.wav	2.952000	Từng chút từng chút một
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_30519756.wav	3.852000	Không heo may cũng chẳng cúc rợp chiều
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_30946618.wav	3.312000	Vợ tôi cũng bị một chiếc xe như vậy
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_25117161.wav	4.320000	Gió hãi hùng giật rú từng cơn
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_27549962.wav	4.824000	Để sớm mai sương giăng mành thổn thức
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_23690373.wav	5.400000	Na ngoan của mẹ
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_26160952.wav	5.220000	Dắt tay em, bước bên thềm hạnh phúc!
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_26424933.wav	4.572000	Trên thảm cỏ mấy hạt còn chưa nở
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_28354829.wav	4.284000	Bất ngờ cánh cửa trên tầng đóng sập lại
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_26559098.wav	4.608000	Phải về quán nằm nghỉ lúc nào khỏe thì đi
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_23397238.wav	7.080000	Thảo cố hết sức đạp vào người của em để ra ngoài
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_27875885.wav	1.872000	mẹ em làm việc
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_24976644.wav	3.996000	Chẳng hiểu trinh đang nhìn cái gì trên đùi
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_23891882.wav	4.992000	Con của tao Ngoan hiền lắm dễ thương biết nghe lời
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_23891886.wav	2.712000	Mày lại mơ à
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_26102963.wav	4.464000	Anh chàng chạy xe đáp ngay
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_26102967.wav	3.024000	Chiều hoàng hôn tím đỏ những chân mây
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_25202224.wav	3.132000	sự dằn vặt
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_25217883.wav	3.420000	đang nhớ lại chuyện cũ
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_23763792.wav	4.680000	Thì cố học cho xong
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_23763793.wav	4.392000	Nghe bà ấy nói mà Cả nhà em đều sợ hãi
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_28098693.wav	4.140000	Xã hội phát triển thông tin được cập nhật trên internet liên tục
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_28098770.wav	3.744000	cô nàng bị hai người bạn của mình nói xấu sau lưng
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_27710010.wav	2.340000	Chết người rồi
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_27710013.wav	3.492000	Nồng nàn hoa sữa giữa bầu trời đêm
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_25050909.wav	3.564000	Con sẽ thốt lên
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_25050938.wav	5.004000	thầy lại cũng nói là bị che cơ mà
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_25152887.wav	3.528000	Đến rồi đấy mọi người
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_25152889.wav	4.716000	Mở cửa nhà cô chạy ngay lên phòng của mình
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_27501155.wav	5.940000	Trời tháng mười e ấp những vì sao
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_27501156.wav	3.924000	Chúng mình nguyện ước....
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_30393320.wav	3.744000	Hương men say man mác của mùa thu
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_30393340.wav	3.204000	Thế bây giờ tôi cần phải làm gì
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_23695846.wav	5.952000	bố liền nói
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_23695847.wav	4.752000	Các bình chọn của Tuần báo Time
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_23960969.wav	4.080000	Thôn e ri a ở đâu
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_23960971.wav	4.872000	Đặt bát cháo ở lên bàn Quân liền hỏi
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_24855910.wav	5.724000	Nhất là khi nhìn vào con búp bê đó
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_24855914.wav	3.816000	Vậy phải xem số trời thế nào
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_27648943.wav	4.032000	Bấc tràn về vuốt ve nhành hoa sữa
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_27648954.wav	3.600000	Giáo án mầm non chủ đề Thơ Tình bạn
/data/cv-corpus-13.0-2023-03-09/vi/clips_wav/common_voice_vi_30579143.wav	4.932000	Duyên tháng mười và cải đắng vàng tươi
